pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
6930,Kz-1,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,222
6931,Kz-9,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,CS76537,Arabidopsis thaliana,,230
6932,Ler-1,GER,47.984,10.8719,Eric Holub,,CS77021,Arabidopsis thaliana,,360
6933,LL-0,Spain,41.59,2.49,Albert Kranz,,CS77047,Arabidopsis thaliana,,238
6936,Lz-0,France,46.0,3.3,Albert Kranz,,,Arabidopsis thaliana,,321
6937,Mrk-0,GER,49.0,9.3,Albert Kranz,,,Arabidopsis thaliana,,285
6938,Ms-0,Russia,55.7522,37.6322,Albert Kranz,,CS76555,Arabidopsis thaliana,,209
6939,Mt-0,LIB,32.34,22.46,Albert Kranz,,,Arabidopsis thaliana,,281
6940,Mz-0,GER,50.3,8.3,Albert Kranz,,CS76557,Arabidopsis thaliana,,440
6942,Nd-1,GER,50.0,10.0,Eric Holub,,,Arabidopsis thaliana,,212
6943,NFA-10,UK,51.4083,-0.6383,Mick Crawley,,CS77126,Arabidopsis thaliana,,304
6944,NFA-8,UK,51.4083,-0.6383,Mick Crawley,,CS78913,Arabidopsis thaliana,,323
6945,Nok-3,NED,52.24,4.45,Albert Kranz,,CS76562,Arabidopsis thaliana,,287
6946,Oy-0,Norway,60.39,6.19,Albert Kranz,,,Arabidopsis thaliana,,303
6947,Pu2-10,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,0
6948,Pu2-16,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,0
6949,Pu2-2,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,0
6950,Pu2-22,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,0
6951,Pu2-23,Czech Republic,49.42,16.36,Ivo Cetl,,CS76579,Arabidopsis thaliana,,319
6953,Pu2-24,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,114
6954,Pu2-32,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,0
6955,Pu2-5,Czech Republic,49.42,16.36,Ivo Cetl,,,Arabidopsis thaliana,,0
6956,Pu2-7,Czech Republic,49.42,16.36,Ivo Cetl,,CS76580,Arabidopsis thaliana,,226
6957,Pu2-8,Czech Republic,49.42,16.36,Ivo Cetl,,CS77192,Arabidopsis thaliana,,83
6958,Ra-0,France,46.0,3.3,Albert Kranz,,CS76582,Arabidopsis thaliana,,404
6959,Rennes-1,France,48.5,-1.41,Gerhard Röbbelen,,CS77210,Arabidopsis thaliana,,322
6960,Rennes-11,France,48.5,-1.41,Gerhard Röbbelen,,CS77211,Arabidopsis thaliana,,221
6961,Se-0,Spain,38.3333,-3.53333,Albert Kranz,,CS76597,Arabidopsis thaliana,,444
6962,Shahdara,Tajikistan,38.35,68.48,Igor Vizir,,,Arabidopsis thaliana,,275
6963,Sorbo,Tajikistan,38.35,68.48,Igor Vizir,,CS78917,Arabidopsis thaliana,,361
6964,Spr1-2,Sweden,56.31635,16.03529,Magnus Nordborg,,,Arabidopsis thaliana,,132
6965,Spr1-6,Sweden,56.31635,16.03529,Magnus Nordborg,,,Arabidopsis thaliana,,176
6966,Sq-1,UK,51.4083,-0.6383,Mick Crawley,,CS77266,Arabidopsis thaliana,,188
6967,Sq-8,UK,51.4083,-0.6383,Mick Crawley,,CS76604,Arabidopsis thaliana,,289
6968,Tamm-2,Finland,60.0,23.5,Outi Savolainen,,CS76610,Arabidopsis thaliana,,304
